Gene	Branch_lnL	Branch_np	Branch_omega	Branch_time	Branch_stops	M0_lnL	M0_np	M0_omega	M0_time	M0_stops	M1a_lnL	M1a_np	M1a_omega	M1a_time	M1a_stops	M2a_lnL	M2a_np	M2a_omega	M2a_time	M2a_stops	M7_lnL	M7_np	M7_omega	M7_time	M7_stops	M8_lnL	M8_np	M8_omega	M8_time	M8_stops	lrt_M0_vs_M1a	lrt_M1a_vs_M2a	lrt_M7_vs_M8	lrt_M0_vs_Branch
OG0075476.onlyexons	-392.882882	38	0.421100	7	8	-398.363344	35	1.000000	3	8	-394.981033	37	0.260600	7	8	-394.981012	39	0.260600	21	8	-394.985772	37	0.262000	21	8	-394.985807	39	0.262300	38	8	6.764622	0.000042	-0.000070	10.960924
OG0075668.onlyexons	-2496.901610	38	1.886900	20	8	-2502.028387	35	1.000000	9	8	-2501.740630	37	0.864900	21	8	-2483.693818	39	2.213000	71	8	-2502.028386	37	1.000000	48	8	-2483.693819	39	2.213100	72	8	0.575514	36.093624	36.669134	10.253554
OG0075966.onlyexons	-409.109877	38	0.048000	12	8	-421.560671	35	1.000000	6	8	-409.499488	37	0.051600	14	8	-409.499385	39	0.051600	26	8	-409.427362	37	0.049800	89	8	-409.505324	39	0.051700	126	8	24.122366	0.000206	-0.155924	24.901588
OG0076119.onlyexons	-3381.913499	38	0.350500	18	8	-3402.954427	35	1.000000	16	8	-3355.315279	37	0.284600	28	8	-3334.727217	39	0.435500	41	8	-3355.614170	37	0.291400	1421	8	-3334.721247	39	0.435400	83	8	95.278296	41.176124	41.785846	42.081856
